time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.025156	5	343.736	1249.720	2340.047	3562.029	4248.459
0.030156	5	349.957	1204.063	2301.378	3577.344	4201.510
0.035156	5	349.301	1206.090	2271.156	3566.622	4146.382
0.040156	5	346.693	1256.296	2318.054	3555.222	4222.095
0.045156	5	346.829	1344.173	2375.875	3641.780	4369.439
0.050156	5	350.405	1361.033	2413.830	3753.997	4239.142
0.055156	5	353.734	1404.851	2451.779	3882.283	4286.450
0.060156	4	347.106	1454.474	2509.607	3898.125	--undefined--
0.065156	4	354.906	1532.861	2590.482	3914.503	--undefined--
0.070156	4	368.170	1563.457	2656.197	3932.829	--undefined--
0.075156	4	371.130	1596.582	2673.973	3916.161	--undefined--
0.080156	4	350.395	1591.852	2662.882	3912.080	--undefined--
0.085156	5	325.903	1592.130	2469.305	3930.759	3982.211
0.090156	5	319.061	1564.007	2459.179	3952.526	4782.655
0.095156	5	318.597	1529.465	2374.271	3922.756	4595.093
0.100156	5	321.682	1530.920	2274.693	3922.321	4307.953
0.105156	5	326.443	1552.357	2278.480	3941.042	4048.952
0.110156	5	328.928	1533.679	2337.300	3907.101	4034.932
0.115156	5	332.328	1510.849	2379.492	3862.511	4052.912
0.120156	5	333.083	1496.914	2366.433	3705.837	4014.746
0.125156	5	337.223	1502.833	2426.580	3639.407	3992.708
0.130156	5	379.967	1541.387	2482.789	3620.006	3982.975
0.135156	5	459.897	1558.061	2480.742	3617.824	3976.783
0.140156	5	519.489	1579.250	2409.512	3637.431	3928.274
0.145156	5	548.002	1605.164	2388.698	3641.512	3874.509
0.150156	5	561.581	1619.733	2390.220	3621.575	3858.573
0.155156	5	576.251	1624.808	2387.915	3606.309	3817.831
0.160156	5	587.060	1648.685	2369.433	3615.182	3808.781
0.165156	5	595.360	1693.230	2393.697	3723.321	3790.693
0.170156	5	605.860	1730.776	2459.278	3732.368	3799.685
0.175156	5	602.585	1743.204	2463.380	3648.688	3832.267
0.180156	5	589.181	1758.804	2432.127	3608.461	3843.089
0.185156	5	586.131	1796.275	2406.716	3616.663	3846.511
0.190156	5	568.956	1823.854	2432.636	3667.613	3829.602
0.195156	5	553.547	1824.948	2428.654	3670.790	3790.428
0.200156	5	543.574	1822.025	2373.021	3603.277	3815.200
0.205156	5	530.832	1847.768	2399.469	3654.769	3798.584
0.210156	5	512.966	1882.251	2571.379	3718.179	3836.526
0.215156	5	490.203	1874.890	2562.605	3741.433	3777.749
0.220156	5	471.346	1872.015	2517.374	3705.439	3772.669
0.225156	5	449.309	1886.469	2517.152	3716.411	3777.236
0.230156	5	440.745	1895.944	2501.805	3668.314	3795.302
0.235156	5	442.137	1910.786	2516.578	3714.127	3791.259
0.240156	5	440.643	1918.585	2523.311	3764.798	3769.801
0.245156	5	453.524	1924.902	2552.277	3749.830	3834.974
0.250156	5	483.633	1923.766	2671.174	3732.016	4165.725
0.255156	5	505.116	1939.945	2695.124	3744.252	4425.858
0.260156	5	517.403	1938.856	2673.169	3750.511	4136.791
0.265156	5	527.976	1926.748	2729.168	3752.518	4634.340
0.270156	4	529.045	1912.326	2636.551	3746.700	--undefined--
0.275156	4	422.144	1914.970	2438.166	3738.891	--undefined--
0.280156	4	321.366	1809.709	2284.483	3724.465	--undefined--
0.285156	4	305.260	2000.495	3007.229	3720.365	--undefined--
0.290156	4	311.086	2078.397	3094.116	3748.497	--undefined--
0.295156	4	303.218	2130.112	3139.139	3758.407	--undefined--
0.300156	4	309.881	2184.648	3200.965	3773.052	--undefined--
0.305156	4	319.188	2263.587	3246.176	3805.360	--undefined--
0.310156	4	329.433	2379.604	3274.398	3802.774	--undefined--
0.315156	4	327.842	2283.765	3253.073	3770.370	--undefined--
0.320156	4	338.159	2175.150	3280.398	3742.899	--undefined--
0.325156	4	334.290	2144.455	3317.777	3730.032	--undefined--
0.330156	4	322.649	2116.159	3282.128	3740.318	--undefined--
0.335156	4	319.056	2061.493	3261.101	3746.476	--undefined--
0.340156	4	309.033	2046.751	3258.719	3787.448	--undefined--
0.345156	4	286.656	2055.647	3145.556	3801.381	--undefined--
0.350156	4	275.372	2043.232	3046.334	3782.399	--undefined--
0.355156	4	306.895	1884.932	2979.447	3758.103	--undefined--
0.360156	4	421.311	1762.312	2857.439	3765.216	--undefined--
0.365156	4	383.111	1750.942	2633.092	3685.850	--undefined--
0.370156	4	354.565	1834.240	2610.847	3565.966	--undefined--
0.375156	4	368.834	1786.202	2589.678	3532.658	--undefined--
0.380156	4	389.460	1736.605	2564.201	3527.031	--undefined--
0.385156	4	411.505	1712.603	2535.124	3538.635	--undefined--
0.390156	5	429.120	1656.937	2449.618	3550.260	4817.661
0.395156	5	445.630	1606.693	2447.424	3572.283	4883.820
0.400156	4	446.888	1563.807	2423.934	3572.086	--undefined--
0.405156	4	441.881	1510.504	2308.922	3565.649	--undefined--
0.410156	4	434.602	1456.010	2268.996	3581.575	--undefined--
0.415156	4	421.957	1403.297	2249.535	3589.542	--undefined--
0.420156	5	406.102	1373.265	2244.652	3567.109	4762.277
0.425156	5	394.006	1303.099	2246.218	3564.424	4749.332
0.430156	5	385.432	1267.897	2262.856	3562.235	4764.948
0.435156	5	371.307	1281.613	2273.767	3572.433	4640.892
0.440156	5	363.582	1203.399	2263.477	3579.592	4667.674
0.445156	5	360.930	1180.392	2268.122	3624.025	4831.004
0.450156	4	364.041	1190.615	2354.763	3668.819	--undefined--
0.455156	5	362.130	1230.341	2355.967	3664.998	4783.327
0.460156	5	363.398	1223.331	2207.033	3623.930	4537.151
0.465156	5	359.448	849.851	2255.227	3614.096	4539.326
0.470156	5	354.185	793.645	2309.742	3641.967	4651.360
0.475156	4	357.911	1036.483	2248.323	3629.693	--undefined--
0.480156	4	366.008	1385.133	2427.216	3726.522	--undefined--
0.485156	4	370.418	1351.398	2492.279	3741.231	--undefined--
0.490156	5	370.711	1456.963	2466.944	3741.062	4633.536
0.495156	5	349.266	1583.342	2516.282	3754.050	4626.058
0.500156	5	358.484	1572.394	2594.484	3761.630	4632.361
0.505156	5	368.929	1561.559	2643.495	3612.868	4669.326
0.510156	5	351.338	1592.256	2729.247	3667.009	4788.221
0.515156	4	346.777	1641.735	2938.161	3816.126	--undefined--
0.520156	5	339.423	1541.706	2442.538	3456.131	4924.378
0.525156	4	334.815	1589.081	2525.350	3627.547	--undefined--
0.530156	4	337.218	1645.582	2555.229	3964.461	--undefined--
0.535156	4	340.004	1682.462	2690.328	4154.912	--undefined--
0.540156	4	335.873	1692.344	2738.248	3993.923	--undefined--
0.545156	4	331.405	1719.861	2489.920	3702.790	--undefined--
0.550156	4	325.505	1784.492	2482.693	3797.794	--undefined--
0.555156	4	325.868	1784.244	2451.888	3712.131	--undefined--
0.560156	5	329.842	1667.062	2429.579	3775.962	4808.147
0.565156	5	327.900	1624.830	2393.028	3770.252	4779.711
0.570156	5	322.600	1602.546	2329.996	3750.538	4816.575
0.575156	5	311.541	1643.791	2330.095	3742.311	4928.500
0.580156	5	300.974	1797.301	2315.934	3618.890	4839.648
0.585156	5	294.178	1828.213	2276.690	3561.601	4779.750
0.590156	5	287.635	2004.435	2236.710	3653.404	4812.426
0.595156	4	284.434	2066.385	2210.072	3690.745	--undefined--
0.600156	4	282.337	2191.023	2221.372	3714.734	--undefined--
0.605156	4	288.156	2206.373	2350.201	3740.678	--undefined--
0.610156	4	294.631	2077.789	2327.112	3704.854	--undefined--
0.615156	4	287.889	2002.469	2343.107	3677.922	--undefined--
0.620156	4	283.427	2157.422	2267.145	3695.772	--undefined--
0.625156	4	292.182	2106.722	2319.723	3718.681	--undefined--
0.630156	4	316.663	2117.832	2199.197	3724.339	--undefined--
0.635156	5	332.524	2092.623	2217.575	3643.050	4624.782
0.640156	5	317.825	1998.263	2097.043	3649.576	4688.059
0.645156	4	305.808	2004.741	2229.825	3698.509	--undefined--
0.650156	4	302.530	1875.963	2293.680	3727.202	--undefined--
0.655156	4	305.296	1747.489	2274.902	3735.803	--undefined--
0.660156	5	315.389	1664.495	2279.694	3650.801	4713.175
0.665156	5	331.131	1613.664	2227.784	3497.985	4624.447
0.670156	5	357.271	1465.493	2236.707	3572.294	4617.537
0.675156	5	348.516	1441.993	2243.538	3582.378	4640.030
0.680156	5	334.866	1422.973	2311.757	3619.832	4659.969
0.685156	4	333.952	1326.427	2373.243	3809.583	--undefined--
0.690156	5	346.767	1148.393	2312.578	3753.112	4758.208
0.695156	5	356.142	1028.202	2262.085	3692.876	4653.820
0.700156	5	349.127	1067.495	2300.924	3724.925	4549.273
0.705156	5	357.302	1068.916	2248.516	3771.118	4541.223
0.710156	5	357.823	1085.209	2227.857	3908.412	4546.399
0.715156	5	352.849	1089.143	2203.602	3845.675	4492.817
0.720156	5	342.344	1026.376	2243.920	3745.663	4500.827
0.725156	5	328.835	929.418	2345.637	3777.638	4554.180
0.730156	5	335.233	959.691	2740.202	3619.737	4736.204
0.735156	5	339.614	1233.360	2878.415	2919.541	4475.035
0.740156	5	343.399	1245.029	2879.393	2927.768	4440.015
0.745156	5	329.790	1153.287	2805.370	2879.043	4409.537
0.750156	5	316.665	932.662	2480.813	3126.100	4410.065
0.755156	5	320.832	890.808	2505.709	3354.937	4444.683
0.760156	4	314.299	998.748	2675.861	3935.933	--undefined--
0.765156	4	306.869	1078.773	2587.889	3873.620	--undefined--
0.770156	4	306.086	1059.988	2426.605	3886.154	--undefined--
0.775156	4	310.733	1186.177	2427.984	3749.643	--undefined--
0.780156	4	313.540	1333.127	2592.329	2878.193	--undefined--
0.785156	4	303.540	1368.218	2433.010	2777.361	--undefined--
0.790156	5	290.987	1197.798	2375.475	2965.089	4906.116
0.795156	5	287.138	1225.973	2354.999	2987.238	4909.871
0.800156	5	284.956	1221.903	2378.515	2973.588	4905.729
0.805156	5	284.163	1177.556	2398.355	2974.446	4846.725
0.810156	5	287.718	1200.813	2449.857	3040.560	4882.187
0.815156	5	293.197	1262.181	2589.579	2840.868	4829.091
0.820156	5	295.681	1317.538	2476.260	2950.637	4828.072
0.825156	4	298.545	1304.206	2365.482	3182.808	--undefined--
0.830156	4	301.320	1267.736	2292.438	3304.285	--undefined--
0.835156	4	302.991	1215.379	2245.941	3372.687	--undefined--
0.840156	4	303.189	1202.134	2227.552	3431.971	--undefined--
0.845156	4	305.476	1839.063	2447.558	3597.561	--undefined--
0.850156	4	311.116	1899.526	2596.330	3624.622	--undefined--
0.855156	5	324.438	1900.693	2498.694	3689.048	4510.726
0.860156	4	339.030	1936.008	2489.889	3829.888	--undefined--
0.865156	4	358.312	1999.148	2482.148	3841.066	--undefined--
0.870156	4	373.743	2038.432	2537.470	3831.350	--undefined--
0.875156	4	378.624	2065.623	2545.812	3827.889	--undefined--
0.880156	4	377.732	2074.129	2428.881	3826.145	--undefined--
0.885156	4	385.898	2063.969	2728.372	3848.200	--undefined--
0.890156	4	400.894	2040.338	2724.343	3802.687	--undefined--
0.895156	4	409.932	2014.301	2682.816	3786.280	--undefined--
0.900156	4	411.127	2002.281	2547.167	3767.617	--undefined--
0.905156	4	401.939	2009.157	2438.723	3612.326	--undefined--
0.910156	4	393.575	2020.723	2419.832	3495.376	--undefined--
0.915156	4	392.596	2017.878	2308.661	3337.117	--undefined--
0.920156	4	394.800	2013.797	2225.549	3432.103	--undefined--
0.925156	4	398.143	2018.845	2245.754	3521.765	--undefined--
0.930156	4	400.021	2039.208	2128.671	3512.624	--undefined--
0.935156	4	432.003	2008.686	2382.296	3602.045	--undefined--
0.940156	4	468.272	1971.170	2564.708	3642.866	--undefined--
0.945156	4	473.721	1964.911	2570.206	3640.641	--undefined--
0.950156	4	468.687	1949.849	2620.909	3646.640	--undefined--
0.955156	4	445.712	1921.123	2653.697	3656.530	--undefined--
0.960156	4	407.257	1909.142	2631.072	3683.292	--undefined--
0.965156	4	362.527	1904.781	2690.348	3739.813	--undefined--
0.970156	4	324.237	1948.922	2774.834	3744.515	--undefined--
0.975156	4	304.984	2062.716	2893.344	3761.731	--undefined--
0.980156	4	311.570	1361.092	2137.048	3566.118	--undefined--
0.985156	4	290.837	1424.116	2127.059	3518.592	--undefined--
0.990156	4	299.927	1410.280	2003.337	3318.850	--undefined--
0.995156	4	331.160	1981.224	3227.009	4905.620	--undefined--
1.000156	3	340.620	2018.082	3233.272	--undefined--	--undefined--
1.005156	4	325.704	520.468	2092.511	3361.585	--undefined--
1.010156	3	322.934	2106.964	3309.910	--undefined--	--undefined--
1.015156	3	307.390	2075.148	3216.946	--undefined--	--undefined--
1.020156	3	295.564	2116.334	3303.971	--undefined--	--undefined--
1.025156	4	284.521	1700.571	2109.890	3501.739	--undefined--
1.030156	4	290.198	1997.531	2790.813	3587.847	--undefined--
1.035156	4	347.507	2401.314	2769.451	3595.115	--undefined--
1.040156	4	360.966	2263.979	2903.375	3675.479	--undefined--
1.045156	4	353.240	2100.342	2839.429	3751.650	--undefined--
1.050156	4	352.784	2062.561	2994.053	3736.473	--undefined--
1.055156	4	374.837	2056.479	3167.170	3741.936	--undefined--
1.060156	5	391.975	2041.819	2056.150	3196.272	3781.190
1.065156	4	382.137	2044.969	2928.018	3547.673	--undefined--
1.070156	5	361.943	2099.291	2230.557	3493.407	3655.155
1.075156	5	346.751	1910.954	2081.759	3457.278	3764.089
1.080156	4	354.627	1806.718	2194.676	3459.412	--undefined--
