time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.026135	5	304.898	1942.002	2435.318	3340.011	4105.806
0.031135	5	317.926	1959.867	2389.442	3327.704	4071.340
0.036135	5	338.481	1957.056	2338.799	3315.797	4014.953
0.041135	5	349.555	1952.810	2367.024	3327.166	4110.534
0.046135	5	365.568	1920.732	2361.949	3293.121	4217.575
0.051135	5	376.262	1865.457	2310.148	3271.562	4219.489
0.056135	5	383.301	1749.334	2276.057	3231.842	4234.563
0.061135	5	395.020	1574.412	2270.626	3221.029	4321.935
0.066135	5	396.315	1417.690	2332.416	3202.356	4523.714
0.071135	5	402.291	1414.478	2391.311	3192.175	4477.102
0.076135	5	401.258	1403.216	2328.822	3167.558	4326.106
0.081135	5	394.710	1375.258	2255.039	3194.833	4339.567
0.086135	5	393.526	1380.278	2370.072	3207.864	4470.662
0.091135	5	392.703	1365.500	2398.481	3212.125	4466.478
0.096135	5	391.246	1297.993	2325.112	3259.795	4428.557
0.101135	5	393.246	1266.164	2287.860	3404.556	4434.082
0.106135	5	388.342	1186.293	2312.611	3370.718	4413.781
0.111135	5	380.393	1148.867	2313.368	3232.638	4390.880
0.116135	5	372.434	1137.818	2307.844	3267.669	4356.767
0.121135	5	372.712	1128.200	2339.812	3252.259	4151.013
0.126135	5	370.576	1142.163	2447.953	3222.689	4104.849
0.131135	5	371.455	1149.686	2431.737	3287.483	4064.333
0.136135	5	366.875	1141.180	2328.836	3388.712	4088.774
0.141135	5	363.658	1140.474	2339.691	3380.631	4092.252
0.146135	5	363.968	1154.216	2419.687	3383.801	4092.530
0.151135	5	371.152	1166.154	2405.123	3032.296	4118.230
0.156135	5	377.941	1188.965	2354.181	2835.935	4165.417
0.161135	5	378.500	1218.564	2308.337	2765.551	4021.746
0.166135	5	370.052	1228.718	2265.483	2799.207	4107.611
0.171135	5	329.980	1252.641	2242.647	2926.528	4237.957
0.176135	5	298.076	1310.099	2254.981	3073.024	4408.768
0.181135	5	292.005	1341.711	2309.800	3018.216	4388.747
0.186135	5	293.715	1362.040	2488.414	3141.229	4408.314
0.191135	5	294.769	1397.050	2516.269	3139.376	4239.339
0.196135	5	305.841	1507.397	2508.540	3057.623	4540.457
0.201135	4	392.737	1496.484	2403.461	3031.831	--undefined--
0.206135	4	431.204	1461.010	2498.380	3143.115	--undefined--
0.211135	5	454.096	1404.915	2490.285	3402.777	4121.084
0.216135	4	467.204	1432.446	2495.710	3393.131	--undefined--
0.221135	4	469.507	1513.566	2538.663	3368.351	--undefined--
0.226135	5	480.594	1481.030	2522.670	3407.797	4281.831
0.231135	5	494.247	1501.430	2510.432	3395.142	3830.141
0.236135	5	505.077	1508.191	2517.660	3416.505	3812.300
0.241135	4	514.618	1538.012	2521.671	3396.114	--undefined--
0.246135	4	513.646	1563.961	2528.728	3379.846	--undefined--
0.251135	5	510.174	1572.149	2459.838	3341.575	4071.548
0.256135	5	498.924	1449.882	2340.091	3094.768	4025.027
0.261135	5	491.967	1466.548	2481.803	2970.289	4020.666
0.266135	5	491.345	1454.983	2508.713	2886.632	3979.184
0.271135	5	501.259	1768.931	2533.360	2554.071	3912.077
0.276135	4	513.538	1960.080	2619.870	3841.030	--undefined--
0.281135	4	509.343	1965.712	2622.575	3839.376	--undefined--
0.286135	4	489.558	1966.715	2612.844	3936.906	--undefined--
0.291135	5	483.374	1981.252	2594.077	3032.010	3820.280
0.296135	5	470.127	1968.370	2507.969	3460.313	3619.097
0.301135	5	470.614	1988.329	2507.276	3534.778	3665.848
0.306135	5	473.217	1972.783	2475.521	3455.509	3855.714
0.311135	5	474.201	1983.889	2476.700	3477.919	3824.581
0.316135	5	475.181	1974.306	2448.205	3319.032	3850.849
0.321135	5	475.510	1978.237	2457.577	3139.982	3917.448
0.326135	5	474.309	1979.956	2487.033	3065.319	3930.943
0.331135	5	473.134	1996.250	2458.538	3169.552	3799.548
0.336135	5	477.745	2005.163	2506.310	3464.428	3530.065
0.341135	5	480.292	1995.785	2596.145	3060.039	3852.366
0.346135	5	491.983	1994.914	2650.304	2708.736	3964.562
0.351135	5	503.318	1796.287	2528.091	3150.343	3927.805
0.356135	5	516.355	1649.557	2414.090	3147.221	4117.464
0.361135	5	534.437	1693.601	2771.493	3454.288	4087.942
